N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"72,700","

				400
				
","

				-0.55%
				
",100,"4,340,032","5,969,783",51.82,"22,122,910",15.31,9.99,
2,SK하이닉스,"102,500","
0
","
0.00%
","5,000","746,202","728,002",46.06,"4,697,531",12.82,9.53,
3,NAVER,"422,500","

				2,000
				
","

				-0.47%
				
",100,"694,013","164,263",56.82,"586,392",4.20,15.22,
4,삼성바이오로직스,"986,000","

				11,000
				
","

				+1.13%
				
","2,500","652,387","66,165",10.61,"144,342",194.86,N/A,
5,카카오,"144,000","

				2,500
				
","

				-1.71%
				
",100,"640,378","444,707",31.79,"2,763,109",134.20,2.70,
6,LG화학,"898,000","

				4,000
				
","

				+0.45%
				
","5,000","633,919","70,592",48.10,"219,694",24.19,2.93,
7,삼성전자우,"68,400","

				100
				
","

				-0.15%
				
",100,"562,854","822,887",75.28,"1,804,179",14.40,N/A,
8,삼성SDI,"772,000","

				5,000
				
","

				-0.64%
				
","5,000","530,862","68,765",44.49,"285,555",57.20,4.54,
9,카카오뱅크,"91,000","

				1,000
				
","

				-1.09%
				
","5,000","432,341","475,100",5.20,"13,964,391",294.50,5.08,
10,현대차,"201,500","

				5,000
				
","

				-2.42%
				
","5,000","430,541","213,668",28.53,"1,301,470",14.60,2.04,
11,셀트리온,"266,000","

				5,000
				
","

				-1.85%
				
","1,000","366,906","137,935",20.77,"639,437",62.37,16.68,
12,기아,"79,400","

				1,000
				
","

				-1.24%
				
","5,000","321,858","405,363",33.44,"2,468,897",14.26,5.05,
13,POSCO,"308,000","

				5,500
				
","

				-1.75%
				
","5,000","268,535","87,187",54.08,"476,982",6.96,3.61,
14,SK바이오사이언스,"330,500","

				5,000
				
","

				-1.49%
				
",500,"252,832","76,500",3.71,"1,971,460",160.98,13.25,
15,크래프톤,"491,500","

				1,000
				
","

				-0.20%
				
",100,"240,334","48,898",6.08,"1,093,773",44.38,61.86,
16,LG전자,"146,500","

				1,500
				
","

				-1.01%
				
","5,000","239,744","163,648",31.85,"797,449",17.73,13.23,
17,현대모비스,"251,500","

				6,000
				
","

				-2.33%
				
","5,000","238,405","94,793",35.56,"364,904",10.79,4.66,
18,삼성물산,"127,000","

				2,500
				
","

				-1.93%
				
",100,"237,347","186,887",15.19,"397,203",14.48,3.81,
19,LG생활건강,"1,414,000","

				23,000
				
","

				-1.60%
				
","5,000","220,841","15,618",45.30,"32,105",29.69,17.92,
20,SK이노베이션,"233,000","

				3,000
				
","

				+1.30%
				
","5,000","215,445","92,466",22.53,"619,544",-48.27,-13.58,
21,KB금융,"50,800","

				500
				
","

				-0.97%
				
","5,000","211,230","415,808",67.37,"1,493,930",5.29,8.53,
22,SK텔레콤,"284,500","

				5,500
				
","

				-1.90%
				
",500,"205,011","72,060",46.71,"402,532",13.10,6.44,
23,신한지주,"37,100","

				450
				
","

				-1.20%
				
","5,000","191,658","516,600",60.08,"1,489,032",5.21,8.20,
24,SK,"259,500","

				500
				
","

				+0.19%
				
",200,"182,585","70,360",20.19,"181,316",30.22,1.11,
25,엔씨소프트,"826,000","

				27,000
				
","

				-3.17%
				
",500,"181,340","21,954",51.78,"212,944",38.35,20.83,
26,HMM,"38,200","

				200
				
","

				+0.53%
				
","5,000","154,860","405,392",9.02,"4,299,431",24.19,8.93,
27,한국전력,"23,800","

				150
				
","

				+0.63%
				
","5,000","152,787","641,964",15.28,"2,063,923",7.44,2.91,
28,LG,"94,300","

				800
				
","

				-0.84%
				
","5,000","148,335","157,301",33.27,"346,250",8.65,7.50,
29,SK아이이테크놀로지,"205,000","

				9,000
				
","

				-4.21%
				
","1,000","146,160","71,298",8.72,"651,639",134.78,11.00,
30,삼성생명,"70,700","

				1,400
				
","

				-1.94%
				
",500,"141,400","200,000",12.96,"491,236",6.66,3.53,
31,삼성에스디에스,"166,000","

				3,500
				
","

				-2.06%
				
",500,"128,447","77,378",11.58,"152,022",20.41,6.71,
32,아모레퍼시픽,"215,500","

				1,500
				
","

				+0.70%
				
",500,"125,978","58,458",33.53,"125,366",150.80,0.78,
33,하나금융지주,"41,900","

				1,000
				
","

				-2.33%
				
","5,000","125,801","300,242",67.80,"1,387,264",4.47,8.96,
34,삼성전기,"166,000","

				5,000
				
","

				-2.92%
				
","5,000","123,992","74,694",32.88,"869,925",14.47,10.92,
35,포스코케미칼,"143,000","

				5,000
				
","

				-3.38%
				
",500,"110,772","77,463",7.78,"489,020",103.32,2.96,
36,KT&G,"80,400","

				700
				
","

				-0.86%
				
","5,000","110,383","137,292",37.03,"573,374",9.58,13.22,
37,넷마블,"125,000","

				1,500
				
","

				-1.19%
				
",100,"107,442","85,954",22.68,"228,602",34.00,6.35,
38,하이브,"274,000","

				11,000
				
","

				-3.86%
				
",500,"106,999","39,051",16.52,"372,144",97.47,12.52,
39,삼성화재,"220,500","

				4,500
				
","

				-2.00%
				
",500,"104,462","47,375",48.43,"113,084",10.99,4.96,
40,두산중공업,"19,500","
0
","
0.00%
","5,000","100,204","513,869",9.61,"6,863,731",-46.32,-37.20,
41,S-Oil,"87,100","

				800
				
","

				-0.91%
				
","2,500","98,060","112,583",78.07,"305,801",11.20,-13.07,
42,대한항공,"27,600","

				800
				
","

				-2.82%
				
","5,000","95,999","347,821",10.80,"2,541,225",14.37,-7.22,
43,고려아연,"486,000","

				13,500
				
","

				-2.70%
				
","5,000","91,708","18,870",20.19,"64,961",14.22,8.37,
44,SK바이오팜,"113,000","

				2,000
				
","

				-1.74%
				
",500,"88,494","78,313",6.55,"295,696",-164.01,-135.18,
45,KT,"31,950","

				1,250
				
","

				-3.77%
				
","5,000","83,425","261,112",44.25,"1,847,809",11.09,4.76,
46,한온시스템,"15,100","

				350
				
","

				-2.27%
				
",100,"80,604","533,800",17.79,"1,167,150",59.68,5.09,
47,롯데케미칼,"234,500","

				1,500
				
","

				-0.64%
				
","5,000","80,376","34,275",26.70,"176,534",6.72,1.22,
48,한국조선해양,"109,500","

				1,000
				
","

				-0.90%
				
","5,000","77,497","70,773",17.74,"421,922",-8.38,-7.42,
49,우리금융지주,"10,550","

				200
				
","

				-1.86%
				
","5,000","76,199","722,268",28.05,"2,802,324",5.23,5.87,
50,기업은행,"9,870","

				130
				
","

				-1.30%
				
","5,000","73,462","744,301",12.81,"2,054,497",4.83,6.44,
